,Project,Website,Protocols,DefiSafety Score,Audit,Github
0,88mph V3.0,https://defi-safety.s3.amazonaws.com/Oneandonly_b87524b2bd.docx,"['Avalanche', 'Ethereum', 'Fantom', 'Polygon']",75%,"['Neither auditors nor the protocol itself successfully generated a code coverage score. Trail of bits did a ""coverage"" part of their audit, but did not include percentage values of code coverage, and this can therefore not be counted into the scoring.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Three audits have been released for V3: Trail of Bits, Code423n4, and PeckShield. Two other audits have been made for previous versions, and all audits were completed before the code was implemented.']",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
1,1inch.exchange,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'BnB Smart Chain', 'Ethereum', 'Polygon']",85%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'There have been multiple audits performed on the 1inch contracts before and after their various deployments (v1-v3). The full list of audits can be found here.']",#review-appendices
2,AAVE V2,https://docs.defisafety.com/v/0.4/finished-audits/aave-process-quality-audit,['Ethereum'],96%,"['There is evidence of AAVE code coverage in their SigmaPrime  audit report, however they do not explain skips or misses. In addition, they also have 99% codecov in their Governance  repository.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple high-quality AAVE audit reports were published before and after V1 and V2 deployment. The results were also implemented. These reports can be found at https://docs.aave.com/risk/audits/smartcontract-audits.']",https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf
3,Abracadabra.money,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum', 'Fantom']",43%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Abracadabra is unaudited. A changelog was provided to the DeFiSafety team, though this was not circulated to the public meaning we cannot factor this into the score.']",#review-appendices-executing-code
4,ACryptoS,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],38%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Of all of these four ""audits"" the most useful and informational is DeFiYield.  In the second Hacken audit, the comments below are very concerning (especially when they said ""Well Secured: previously.\n\xa0']",#review-appendices
5,Adamant Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Polygon'],53%,"['No test for coverage seen in their GitHub repository, and no code coverage found in their audits.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCallisto Security published a Adamant Finance audit report on ? (no date specified). They have a TechRate audit that they removed in anticipation of their Certik audit. Most fix recommendations were implemented.\n\xa0']",#review-appendices
6,Akropolis,https://www.akropolis.io,['Ethereum'],76%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik published two Akropolis Sparta audit reports before the mainnet launch.\n\xa0\n\xa0MixBytes published a Delphi staking audit report after mainnnet launch.  MythX did too. ']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team
7,Ampleforth,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],86%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Ampleforth has had multiple audits pre and post-deployment of their multiple smart contracts. The full list of audit reports can be found here, and include reports from QuantStamp, Certik, Slowmist and Trail of Bits.']",#review-appendices
8,ApeSwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],57%,"['No test coverage evident in their GitHub or audits, but there is an incomplete set of test.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""\n\u200bCertik did a ApeSwap audit on May 6th 2021.\u200b\n\xa0\n\xa0- Gemz did a ApeSwap audit on March 4th, 2021.\n\xa0\n\xa0- HashEx recently published an audit report of ApeSwap's new MasterApeAdmin contract pre launch, it can be found at https://github.com/ApeSwapFinance/apeswap-banana-farm/blob/master/audits/MasterApeAdmin_preliminary-audit-report_21.11.23.pdf \n\xa0\n\xa0- Note: None of the issues/recommendations highlighted are fully resolved and implemented within the Certik audit, but fixes were mostly implemented for the Gemz and HashEx fix recommendations.\n""]",https://github.com/ApeSwapFinance/apeswap-banana-farm
9,Armor.fi,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],74%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bThere have been 2 audits that have been performed on this protocol, with the earliest being released on the 16th of October, 2020.']",#review-appendices
