,rekt_link,project,relevant addresses
0,https://rekt.news/ronin-rekt/,ronin,"['https://etherscan.io/address/0x098b716b8aaf21512996dc57eb0615e2383e2f96', 'https://etherscan.io/tx/0xc28fad5e8d5e0ce6a2eaf67b6687be5d58113e16be590824d6cfa1a94467d0b7', 'https://etherscan.io/tx/0xed2c72ef1a552ddaec6dd1f5cddf0b59a8f37f82bdda5257d9c7c37db7bb9b08', 'https://etherscan.io/address/0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2', 'https://etherscan.io/address/0xe708f17240732bbfa1baa8513f66b665fbc7ce10', 'https://etherscan.io/tx/0xe0669bbaaa12cf5ecc682848ddc373a9b86e1351bccc01092b744099bf52a87d', 'https://etherscan.io/address/0x098b716b8aaf21512996dc57eb0615e2383e2f96', 'https://etherscan.io/tx/0x99d8dfd159e678135634bf3e1c7d7f6af1db3fc87f90bcce675a2e4dbd491eda', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
1,https://rekt.news/polynetwork-rekt/,polynetwork,"['https://etherscan.io/address/0xc8a65fadf0e0ddaf421f28feab69bf6e2e589963', 'https://bscscan.com/address/0x0D6e286A7cfD25E0c01fEe9756765D8033B32C71', 'https://etherscan.io/address/0x250e76987d838a75310c34bf422ea9f1ac4cc906', 'https://bscscan.com/address/0x05f0fDD0E49A5225011fff92aD85cC68e1D1F08e', 'https://polygonscan.com/address/0x28FF66a1B95d7CAcf8eDED2e658f768F44841212', 'https://etherscan.io/address/0xC8a65Fadf0e0dDAf421F28FEAb69Bf6E2E589963', 'https://bscscan.com/address/0x0D6e286A7cfD25E0c01fEe9756765D8033B32C71', 'https://polygonscan.com/address/0x5dc3603C9D42Ff184153a8a9094a73d461663214', 'https://etherscan.io/address/0xf8b5c45c6388c9ee12546061786026aaeaa4b682', 'https://etherscan.io/tx/0xae2442c5b5721df8c190fd8f59b53b6dc56a875fb03035ad34276a598ddf7d31', 'https://etherscan.io/tx/0xdf3afc47c7914e06ddb1be19afcd769e558111d353e55273a62c4a96e6a6090f', 'https://etherscan.io/tx/0x7b6009ea08c868d7c5c336bf1bc30c33b87a0eedd59dac8c26e6a8551b20b68a', 'https://etherscan.io/tx/0x7b6009ea08c868d7c5c336bf1bc30c33b87a0eedd59dac8c26e6a8551b20b68a', 'https://etherscan.io/address/0x71fb9db587f6d47ac8192cd76110e05b8fd2142f#tokentxns', 'https://bscscan.com/address/0xEEBb0c4a5017bEd8079B88F35528eF2c722b31fc', 'https://polygonscan.com/address/0xa4b291ed1220310d3120f515b5b7accaecd66f17', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
2,https://rekt.news/wormhole-rekt/,wormhole,"['https://etherscan.io/address/0x629e7da20197a5429d30da36e77d06cdf796b71a', 'https://solscan.io/tx/5fKWY7XyW6PTzjviTDvCTpsqgfoGAAqUs1mC6w4DZm25Ppw7fX7aWDmrnkknewyZ81qMSix3c18ZuvjoZUF34tpa', 'https://solscan.io/tx/25Zu1L2Q9uk998d5GMnX43t9u9eVBKvbVtgHndkc2GmUFed8Pu73LGW6hiDsmGXHykKUTLkvUdh4yXPdL3Jo4wVS', 'https://etherscan.io/address/0x629e7da20197a5429d30da36e77d06cdf796b71a#internaltx', 'https://solscan.io/tx/2zCz2GgSoSS68eNJENWrYB48dMM1zmH8SZkgYneVDv2G4gRsVfwu5rNXtK5BKFxn7fSqX9BvrBc1rdPAeBEcD6Es', 'https://solscan.io/tx/2SohoVoPDSdzgsGCgKQPByKQkLAXHrYmvtE7EEqwKi3qUBTGDDJ7DcfYS7YJC2f8xwKVVa6SFUpH5MZ5xcyn1BCK', 'https://etherscan.io/tx/0x4d5201dd4a377f20e61fb8f42e6f929ec16bcec918f0584e39241d15b254a80f', 'https://etherscan.io/tx/0xd31b155e259a403ebe69831fae0ec2b4bd33dfa090c43b605a57d5c72c4fbbc7', 'https://etherscan.io/tx/0xacd309b02e4b533484d148de9ab0adf367ed4e70ed751d1ff036152dc3bc0479', 'https://etherscan.io/address/0x629e7da20197a5429d30da36e77d06cdf796b71a', 'https://etherscan.io/tx/0x2d8b7901bff18ae6abe1a50aebe44b70559f39ff357b21340843d368b9486859', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
3,https://rekt.news/bitmart-rekt/,bitmart,"['https://etherscan.io/tx/0x951babdddbfbbba81bbbb7991a959d9815e80cc5d9418d10e692f41541029869', 'https://etherscan.io/tx/0x6afb730976b2cf39e5ea7ce8a56c3597728e4e5923f7abae7086fb53019e81e8', 'https://bscscan.com/tx/0x834321195283c5eafbc8a31b6a6926c9af416ee23bd4d71ab15eb9089a90d86d', 'https://etherscan.io/address/0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7', 'https://bscscan.com/address/0x8c128dba2cb66399341aa877315be1054be75da8', 'https://etherscan.io/address/0x39fb0dcd13945b835d47410ae0de7181d3edf270', 'https://etherscan.io/address/0x4bb7d80282f5e0616705d7f832acfc59f89f7091', 'https://bscscan.com/address/0x25fb126b6c6b5c8ef732b86822fa0f0024e16c61', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
4,https://rekt.news/beanstalk-rekt/,beanstalk,"['https://etherscan.io/address/0x1c5dcdd006ea78a7e4783f9e6021c32935a10fb4', 'https://etherscan.io/address/0x79224bc0bf70ec34f0ef56ed8251619499a59def', 'https://etherscan.io/address/0xe5ecf73603d98a0128f05ed30506ac7a663dbb69', 'https://etherscan.io/tx/0x68cdec0ac76454c3b0f7af0b8a3895db00adf6daaf3b50a99716858c4fa54c6f', 'https://etherscan.io/address/0xe5ecf73603d98a0128f05ed30506ac7a663dbb69', 'https://etherscan.io/tx/0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
5,https://rekt.news/compound-rekt/,compound,"['https://etherscan.io/tx/0x02ba168f4d4fc313d095e9f0711447e8b96b26421539bd40be58243cd80a73cd', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
6,https://rekt.news/vulcan-forged-rekt/,vulcan,"['https://etherscan.io/address/0x48ad05a3B73c9E7fAC5918857687d6A11d2c73B1', 'https://polygonscan.com/address/0x48ad05a3B73c9E7fAC5918857687d6A11d2c73B1', 'https://etherscan.io/address/0xe3cd90be37a79d9da86b5e14e2f6042cd0e53b66', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
7,https://rekt.news/cream-rekt-2/,cream,"['https://etherscan.io/address/0x961d2b694d9097f35cfffa363ef98823928a330d', 'https://etherscan.io/address/0x24354d31bc9d90f62fe5f2454709c32049cf866b', 'https://etherscan.io/tx/0xafd29e7918112de30a8c994f19bb503ee9ce717030b0da43a68e2bd9ae25f86a', 'https://etherscan.io/address/0x961d2b694d9097f35cfffa363ef98823928a330d', 'https://etherscan.io/address/0x24354d31bc9d90f62fe5f2454709c32049cf866b', 'https://etherscan.io/tx/0x753cce254051aae778af6f46e999ed9927cc4d93e5cfb95b23f90ff902d7c090', 'https://etherscan.io/tx/0xaa47963fc4471f81550a830d679c0c14a9ba30d886a8c70ae9653bd78a55b089', 'https://etherscan.io/tx/0x9fdcfe7ba45d092ac3f819f746fa2000a344861f3cc100fdefc1c0957cdba7a1', 'https://etherscan.io/tx/0xc79559d42a4c25c92ca8511c3dd5dfcdd41f0382e1f7577abc7224c5ae8ac343', 'https://etherscan.io/tx/0x606bdd12584ccda8a3ecdb9e4bd43046d066d2b223d857121eec51820f34cc89', 'https://etherscan.io/tx/0x0fe2542079644e107cbf13690eb9c2c65963ccb79089ff96bfaf8dced2331c92', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
8,https://rekt.news/badger-rekt/,badger,"['https://etherscan.io/address/0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107', 'https://etherscan.io/tokenapprovalchecker', 'https://etherscan.io/tx/0x951babdddbfbbba81bbbb7991a959d9815e80cc5d9418d10e692f41541029869', 'https://etherscan.io/address/0x53461e4fddcc1385f1256ae24ce3505be664f249', 'https://etherscan.io/tx/0x5e4c7966b0eaddaf63f1c89fc1c4c84812905ea79c6bee9d2ada2d2e5afe1f34', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
9,https://rekt.news/harmony-rekt/,harmony,"['https://etherscan.io/address/0x715CdDa5e9Ad30A0cEd14940F9997EE611496De6', 'https://etherscan.io/address/0xf845A7ee8477AD1FB4446651E548901a2635A915', 'https://etherscan.io/address/0x812d8622C6F3c45959439e7ede3C580dA06f8f25', 'https://etherscan.io/address/0x0d043128146654c7683fbf30ac98d7b2285ded00', 'https://etherscan.io/address/0xf9fb1c508ff49f78b60d3a96dea99fa5d7f3a8a6', 'https://etherscan.io/address/0x2dCCDB493827E15a5dC8f8b72147E6c4A5620857', 'https://etherscan.io/address/0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628', 'https://etherscan.io/tx/0x27981c7289c372e601c9475e5b5466310be18ed10b59d1ac840145f6e7804c97', 'https://etherscan.io/tx/0x44256bb81181bcaf7b5662614c7ee5f6c30d14e1c8239f006f84864a9cda9f77', 'https://etherscan.io/tokentxns?a=0x0d043128146654c7683fbf30ac98d7b2285ded00', 'https://etherscan.io/address/0x9e91ae672e7f7330fc6b9bab9c259bd94cd08715', 'https://etherscan.io/address/0x58f4baccb411acef70a5f6dd174af7854fc48fa9', 'https://bscscan.com/address/0x0d043128146654c7683fbf30ac98d7b2285ded00', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C', 'https://etherscan.io/address/0x3C5c2F4bCeC51a36494682f91Dbc6cA7c63B514C']"
